H,a,e,i,q,ad,per_y,diameter,albedo,impact_candidate,name,is_neo,is_pha
15.19,2.439,0.6632,26.08,0.821,4.06,3.81,0.47159654038966486,0.0,1,  7888 (1993 UC),False,False
15.24,1.262,0.3463,36.91,0.825,1.7,1.42,0.46086169254277104,0.0,1,  7889 (1994 LX),False,False
15.15,2.226,0.4662,25.17,1.188,3.26,3.32,0.4803641746770282,0.0,1,  7977 (1977 QQ5),False,False
17.09,2.2,0.4321,7.6,1.249,3.15,3.26,0.19659415903898278,0.0,1,  8013 Gordonmoore (1990 KA),False,False
18.88,1.748,0.456,1.87,0.951,2.54,2.31,0.08621257374185169,0.0,1,  8014 (1990 MF),False,False
18.02,1.831,0.4091,2.02,1.082,2.58,2.48,0.12810633613631425,0.0,1,  8034 Akka (1992 LR),False,False
17.12,1.342,0.4624,28.31,0.721,1.96,1.55,0.19389678605506822,0.0,1,  8035 (1992 TB),False,False
16.63,1.986,0.4177,5.91,1.157,2.82,2.8,0.24298004629441272,0.0,1,  8037 (1993 HO1),False,False
17.01,1.575,0.6432,39.59,0.562,2.59,1.98,0.20397202638679002,0.0,1,  8176 (1991 WA),False,False
15.94,2.54,0.7061,9.54,0.746,4.33,4.05,0.33386478269900716,0.0,1,  8201 (1994 AH2),False,False
17.21,1.687,0.5948,14.6,0.684,2.69,2.19,0.1860246989901423,0.0,1,  8507 (1991 CB1),False,False
16.47,1.506,0.4304,37.98,0.858,2.15,1.85,0.2615595674421022,0.0,1,  8566 (1996 EN),False,False
15.36,2.046,0.4491,8.45,1.127,2.96,2.93,0.4360844597339065,0.0,1,  8567 (1996 HW1),False,False
17.07,2.521,0.4945,3.54,1.275,3.77,4.0,0.19841322239591205,0.0,1,  8709 Kadlu (1994 JF1),False,False
17.81,1.557,0.3597,16.09,0.997,2.12,1.94,0.1411141650554761,0.0,1,  9058 (1992 JB),False,False
18.01,1.497,0.5955,9.01,0.605,2.39,1.83,0.12869764811725304,0.0,1,  9162 Kwiila (1987 OA),False,False
16.64,2.71,0.5528,7.84,1.212,4.21,4.46,0.24186365438978308,0.0,1,  9172 Abhramu (1989 OB),False,False
16.1,1.424,0.6078,40.8,0.558,2.29,1.7,0.3101491608569649,0.0,1,  9202 (1993 PB),False,False
14.84,2.588,0.5807,35.98,1.085,4.09,4.16,0.5540776222217587,0.0,1,  9400 (1994 TW1),False,False
17.11,2.243,0.6258,9.83,0.839,3.65,3.36,0.19479177295515337,0.0,1,  9856 (1991 EE),False,False
16.21,2.439,0.5329,14.59,1.139,3.74,3.81,0.29482927905910417,0.0,1,  9950 ESA (1990 VB),False,False
17.1,1.249,0.3249,15.32,0.843,1.65,1.4,0.195690890927071,0.0,1, 10115 (1992 SK),False,False
17.0,1.9,0.6326,4.55,0.698,3.1,2.62,0.20491351848325084,0.0,1, 10145 (1994 CK1),False,False
15.45,2.374,0.5443,45.96,1.082,3.67,3.66,0.41837970606299457,0.0,1, 10150 (1994 PN),False,False
17.36,1.235,0.5039,23.9,0.613,1.86,1.37,0.17360835038701605,0.0,1, 10165 (1995 BL2),False,False
19.45,1.273,0.1369,4.38,1.099,1.45,1.44,0.06630871480031214,0.0,0, 10302 (1989 ML),False,False
16.94,1.007,0.2662,63.47,0.739,1.27,1.01,0.21065443670722223,0.0,1, 10563 Izhdubar (1993 WD),False,False
17.7,1.885,0.5128,13.57,0.918,2.85,2.59,0.14844672149475813,0.0,1, 10636 (1998 QK56),False,False
17.02,2.577,0.5752,4.14,1.095,4.06,4.14,0.20303486005357968,0.0,1, 10860 (1995 LE),False,False
17.07,1.979,0.4465,3.08,1.096,2.86,2.78,0.19841322239591205,0.0,1, 11054 (1991 FA),False,False
15.17,1.392,0.3754,36.88,0.869,1.91,1.64,0.475960169452049,0.0,1, 11066 Sigurd (1992 CC1),False,False
18.25,1.74,0.3374,1.99,1.153,2.33,2.3,0.11523133953328835,0.0,1, 11284 Belenus (1990 BA),False,False
15.74,2.116,0.5358,25.49,0.982,3.25,3.08,0.36607545468954383,0.0,1, 11311 Peleus (1993 XN2),False,False
16.38,1.721,0.3891,15.02,1.051,2.39,2.26,0.2726280959694767,0.0,1, 11398 (1998 YP11),False,False
15.22,1.46,0.3938,22.86,0.885,2.03,1.76,0.4651259932809768,0.0,1, 11405 (1999 CV3),False,False
18.36,1.08,0.3558,10.31,0.696,1.46,1.12,0.10953946373977853,0.0,1, 11500 Tomaiyowit (1989 UR),False,False
18.52,1.703,0.4745,19.43,0.895,2.51,2.22,0.10175847984015393,0.0,1, 11885 Summanus (1990 SS),False,False
15.96,1.542,0.4059,24.54,0.916,2.17,1.91,0.3308038919728585,0.0,1, 12538 (1998 OH),False,False
16.04,1.186,0.2721,38.49,0.864,1.51,1.29,0.3188383922112096,0.0,1, 12711 Tukmit (1991 BB),False,False
15.8,1.962,0.4927,5.31,0.995,2.93,2.75,0.3560988822421439,0.0,1, 12923 Zephyr (1999 GK4),False,False
16.54,2.19,0.4636,5.87,1.175,3.21,3.24,0.2532623372474584,0.0,1, 13553 Masaakikoyama (1992 JE),False,False
17.89,1.336,0.3057,17.25,0.927,1.74,1.54,0.13600992792493125,0.0,1, 13651 (1997 BR),False,False
18.77,1.715,0.4017,11.41,1.026,2.4,2.25,0.09069234062060104,0.0,1, 14402 (1991 DB),False,False
18.81,2.851,0.6643,1.97,0.957,4.74,4.81,0.08903701885194286,0.0,1, 14827 Hypnos (1986 JK),False,False
17.41,1.72,0.2554,14.43,1.28,2.16,2.25,0.1696565418669301,0.0,1, 15745 Yuliya (1991 PM5),False,False
